City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,la palma,33.8464,-118.0467,15.74,70,0,0.45,US,1670292203
240,imelda,7.65,123.95,28.67,72,100,1.01,PH,1670292627
241,ballina,-28.8667,153.5667,33.9,42,0,2.84,AU,1670292627
242,riyadh,24.6877,46.7219,18.08,43,6,4.12,SA,1670292419
243,silago,10.5291,125.1618,28.0,77,52,4.27,PH,1670292628
244,saldanha,-33.0117,17.9442,15.85,82,23,5.03,ZA,1670292628
245,olga,43.7444,135.2892,-6.58,49,0,1.31,RU,1670292629
246,san carlos,9.6612,-68.5827,20.42,79,6,2.27,VE,1670292629
247,bellmead,31.594,-97.1089,22.1,77,0,5.66,US,1670292630
248,kruisfontein,-34.0033,24.7314,13.82,81,100,3.65,ZA,1670292630
249,fort nelson,58.8053,-122.7002,-26.7,82,52,0.45,CA,1670292631
250,east london,-33.0153,27.9116,15.0,79,53,3.73,ZA,1670292631
251,te anau,-45.4167,167.7167,11.43,81,99,1.43,NZ,1670292631
252,asosa,10.0667,34.5333,17.5,44,18,1.78,ET,1670292632
253,san felipe,10.3399,-68.7425,18.66,96,44,0.64,VE,1670292632
254,swindon,51.558,-1.7812,5.51,93,75,4.12,GB,1670292633
255,guerrero negro,27.9769,-114.0611,17.1,90,19,7.45,MX,1670292633
256,mount isa,-20.7333,139.5,36.87,15,0,3.6,AU,1670292634
257,januaria,-15.4833,-44.3667,19.78,95,81,1.35,BR,1670292538
258,maltahohe,-24.8333,16.9833,14.1,23,0,1.81,NA,1670292634
259,roald,62.5833,6.1333,4.86,81,75,7.2,NO,1670292635
260,iqaluit,63.7506,-68.5145,-21.41,98,60,1.66,CA,1670292635
261,jizan,17.3333,42.6667,25.11,73,0,2.09,SA,1670292636
262,wurzburg,49.7878,9.9361,4.02,91,100,2.38,DE,1670292636
263,grindavik,63.8424,-22.4338,1.26,93,0,2.06,IS,1670292637
264,harer,9.3094,42.1258,11.94,43,4,0.68,ET,1670292637
265,weyburn,49.6668,-103.8511,-21.03,94,99,2.14,CA,1670292418
266,aquidauana,-20.4711,-55.7872,25.06,80,96,1.25,BR,1670292530
267,umba,66.6871,34.3429,-1.96,91,100,7.1,RU,1670292638
268,sitka,57.0531,-135.33,1.94,93,100,1.54,US,1670292638
269,sawakin,19.1059,37.3321,25.16,78,24,3.6,SD,1670292639
270,nanortalik,60.1432,-45.2371,1.91,78,100,6.76,GL,1670292639
271,batagay-alyta,67.8006,130.4114,-27.85,98,100,0.99,RU,1670292640
272,arman,59.7,150.1667,-24.99,87,13,3.05,RU,1670292640
273,vardo,70.3705,31.1107,-2.01,93,75,8.23,NO,1670292640
274,gaoua,10.2992,-3.2508,25.59,29,40,1.57,BF,1670292641
275,egvekinot,66.3167,-179.1667,-8.81,83,100,13.01,RU,1670292641
276,hualmay,-11.0964,-77.6139,18.9,86,86,3.31,PE,1670292642
277,lawton,34.6087,-98.3903,18.95,67,75,1.54,US,1670292642
278,narsaq,60.9167,-46.05,6.12,71,99,5.54,GL,1670292643
279,provideniya,64.3833,-173.3,0.2,93,100,15.2,RU,1670292643
280,kandrian,-6.2167,149.55,28.19,81,94,4.19,PG,1670292643
281,nantucket,41.2835,-70.0995,7.86,81,0,4.12,US,1670292644
282,fare,-16.7,-151.0167,26.81,73,8,6.94,PF,1670292644
283,tenenkou,14.4572,-4.9169,28.23,20,100,3.02,ML,1670292645
284,chokurdakh,70.6333,147.9167,-40.34,100,40,1.57,RU,1670292645
285,orlik,52.5178,99.825,-25.45,82,99,1.25,RU,1670292646
286,vajszlo,45.8596,17.9841,5.72,92,97,3.22,HU,1670292646
287,vrangel,42.7297,133.0839,-3.89,50,1,7.39,RU,1670292646
288,rorvik,64.8621,11.2373,3.06,75,40,5.66,NO,1670292647
289,burnie,-41.0667,145.9167,16.64,50,8,3.71,AU,1670292647
290,bathsheba,13.2167,-59.5167,23.36,94,20,2.57,BB,1670292648
291,harlingen,26.1906,-97.6961,23.92,95,40,4.63,US,1670292648
292,arsenyev,44.1631,133.2733,-7.78,55,2,4.02,RU,1670292649
293,sapouy,11.5544,-1.7736,24.64,29,49,2.8,BF,1670292649
294,sao filipe,14.8961,-24.4956,22.52,66,26,1.51,CV,1670292649
295,bonfim,3.0833,-59.95,24.83,82,100,1.74,BR,1670292650
296,santiago,-33.4569,-70.6483,23.81,35,0,4.12,CL,1670291846
297,buin,-33.7333,-70.75,24.3,47,0,1.07,CL,1670292651
298,marawi,7.9986,124.2928,26.32,65,100,1.27,PH,1670292651
299,morehead,37.2711,-87.1764,9.44,99,100,1.54,US,1670292652
300,coihaique,-45.5752,-72.0662,9.97,57,0,2.57,CL,1670292520
301,umea,63.8284,20.2597,-6.04,93,14,1.54,SE,1670292652
302,decatur,39.8403,-88.9548,5.03,93,100,2.06,US,1670292520
